Reward,Got Flag
1544.0,False
3439.0,False
1458.0,False
664.0,False
2594.0,False
1048.0,False
1434.0,False
1179.0,False
2482.0,False
2002.0,False
1622.0,False
658.0,False
642.0,False
661.0,False
2274.0,False
607.0,False
1451.0,False
657.0,False
643.0,False
1748.0,False
1063.0,False
2915.0,False
1603.0,False
660.0,False
1082.0,False
1059.0,False
1477.0,False
1046.0,False
1056.0,False
2266.0,False
1754.0,False
1055.0,False
1070.0,False
658.0,False
1994.0,False
1480.0,False
1485.0,False
1470.0,False
1990.0,False
667.0,False
1443.0,False
1074.0,False
668.0,False
1597.0,False
1863.0,False
2273.0,False
1967.0,False
1566.0,False
1463.0,False
1874.0,False
1875.0,False
1598.0,False
1046.0,False
