Iteration,BatchReward,GotFlag,AverageActorLoss,PercentageCompleted
473,19605.0,0,-0.016493084,32.72%
474,19923.0,0,-0.006268376,32.79%
475,19905.0,0,-0.13465416,32.86%
476,20234.0,0,-0.025352515,32.93%
477,19538.0,0,-0.0016471158,33.00%
478,19320.0,0,-0.03361637,33.07%
479,18258.0,0,-0.007813417,33.13%
480,18872.0,0,-0.023021435,33.21%
481,18571.0,0,0.016235227,33.27%
482,15522.0,0,0.009884519,33.34%
483,18063.0,0,0.031835705,33.41%
484,18256.0,0,0.0024026611,33.48%
485,18409.0,0,0.19682752,33.55%
486,17828.0,0,-0.11597088,33.62%
487,19670.0,0,-0.022095015,33.69%
488,19577.0,0,0.05539994,33.76%
489,21020.0,0,0.028315237,33.83%
490,19114.0,0,0.029386863,33.90%
491,17036.0,0,-0.007506036,33.97%
492,19287.0,0,0.0072331964,34.04%
493,19249.0,0,0.005870257,34.11%
494,18155.0,0,-0.011269356,34.18%
495,20809.0,0,-0.010335641,34.24%
496,17594.0,0,-0.058221478,34.31%
497,21049.0,0,-0.007581419,34.38%
498,20457.0,0,-0.024805708,34.45%
499,19229.0,0,0.061696127,34.52%
500,20701.0,0,-0.00854596,34.59%
501,19785.0,0,-0.06102756,34.65%
502,16881.0,0,-0.18802589,34.73%
503,17447.0,0,-0.011807839,34.80%
504,18074.0,0,0.030803425,34.86%
505,18806.0,0,-0.055922747,34.94%
506,19669.0,0,-0.038034864,35.01%
507,19260.0,0,0.0066540004,35.08%
508,17716.0,0,-0.008362808,35.15%
509,19031.0,0,0.030489573,35.22%
510,18492.0,0,-0.004436628,35.29%
511,20256.0,0,0.49199042,35.36%
512,18001.0,0,0.045788694,35.43%
513,18602.0,0,-0.009445254,35.49%
514,19879.0,0,-0.008932452,35.56%
515,18288.0,0,0.1724082,35.63%
516,18664.0,0,0.047414012,35.71%
517,18488.0,1,-0.06743474,35.78%
518,16579.0,0,-0.016945014,35.85%
519,20557.0,0,-0.027721293,35.92%
520,20093.0,0,0.013867895,35.99%
